Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SS56,D_SMA,90.773,-172.212,180.0,top
D2,SS56,D_SMA,98.901,-172.212,180.0,top
D3,SS56,D_SMA,106.648,-172.212,180.0,top
D4,SS56,D_SMA,114.776,-172.212,180.0,top
D5,SS56,D_SMA,124.111,-172.212,0.0,top
D6,SS56,D_SMA,132.239,-172.212,0.0,top
D7,SS56,D_SMA,140.494,-172.212,0.0,top
D8,SS56,D_SMA,148.495,-172.212,0.0,top
F1,Fuse,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,93.025,-163.5,90.0,top
F2,Fuse,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,100.711,-163.703,90.0,top
F3,Fuse,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,108.458,-163.576,90.0,top
F4,Fuse,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,116.205,-163.703,90.0,top
F5,Fuse,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,123.698,-164.084,90.0,top
F6,Fuse,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,131.445,-163.703,90.0,top
F7,Fuse,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,138.684,-163.703,90.0,top
F8,Fuse,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,146.685,-163.83,90.0,top
J2,Screw_Terminal_01x02,"PhoenixContact_GMSTBVA_2,5_2-G-7,62_1x02_P7.62mm_Vertical",74.93,-180.34,0.0,top
J4,Conn_02x15_Odd_Even,IDC-Header_2x15_P2.54mm_Vertical,107.62,-99.996346,90.0,top
J5,Screw_Terminal_01x08,"PhoenixContact_GMSTBVA_2,5_8-G-7,62_1x08_P7.62mm_Vertical",119.634,-180.34,0.0,top
Q1,IRF4905,TO-252-2,93.225,-142.0,-90.0,top
Q10,PZT2222A,SOT-23,128.95,-112.828846,180.0,top
Q11,PZT2222A,SOT-23,124.325,-112.828846,180.0,top
Q12,PZT2222A,SOT-23,119.7,-112.828846,180.0,top
Q13,IRF4905,TO-252-2,123.725,-141.825,-90.0,top
Q14,IRF4905,TO-252-2,131.4275,-141.75,-90.0,top
Q15,IRF4905,TO-252-2,138.725,-141.825,-90.0,top
Q16,IRF4905,TO-252-2,146.725,-141.75,-90.0,top
Q2,IRF4905,TO-252-2,100.6775,-142.0,-90.0,top
Q3,IRF4905,TO-252-2,108.725,-141.85,-90.0,top
Q4,IRF4905,TO-252-2,116.1775,-141.75,-90.0,top
Q5,PZT2222A,SOT-23,84.9,-115.328846,180.0,top
Q6,PZT2222A,SOT-23,89.15,-115.328846,180.0,top
Q7,PZT2222A,SOT-23,93.4,-115.328846,180.0,top
Q8,PZT2222A,SOT-23,97.65,-115.328846,180.0,top
Q9,PZT2222A,SOT-23,133.575,-112.828846,180.0,top
RN1,R_Pack04,R_Array_Convex_4x0603,78.65,-109.941346,180.0,top
RN10,R_Pack04,R_Array_Convex_4x0603,123.65,-108.566346,90.0,top
RN2,R_Pack04,R_Array_Convex_4x0603,78.65,-115.461346,180.0,top
RN3,R_Pack04,R_Array_Convex_4x0603,84.95,-110.866346,180.0,top
RN4,R_Pack04,R_Array_Convex_4x0603,95.25,-110.566346,270.0,top
RN5,R_Pack04,R_Array_Convex_4x0603,91.5,-110.566346,270.0,top
RN6,R_Pack04,R_Array_Convex_4x0603,133.2,-107.916346,180.0,top
RN7,R_Pack04,R_Array_Convex_4x0603,139.3,-112.361346,180.0,top
RN8,R_Pack04,R_Array_Convex_4x0603,139.15,-105.961346,180.0,top
RN9,R_Pack04,R_Array_Convex_4x0603,119.5,-108.566346,90.0,top
TH1,Thermistor_PTC,Fuse_2920_7451Metric,93.25,-152.9625,90.0,top
TH2,Thermistor_PTC,Fuse_2920_7451Metric,100.75,-153.0,90.0,top
TH3,Thermistor_PTC,Fuse_2920_7451Metric,108.5,-153.2125,90.0,top
TH4,Thermistor_PTC,Fuse_2920_7451Metric,116.0,-153.25,90.0,top
TH5,Thermistor_PTC,Fuse_2920_7451Metric,147.25,-153.075,90.0,top
TH6,Thermistor_PTC,Fuse_2920_7451Metric,138.75,-153.075,90.0,top
TH7,Thermistor_PTC,Fuse_2920_7451Metric,131.5,-153.075,90.0,top
TH8,Thermistor_PTC,Fuse_2920_7451Metric,123.75,-153.0,90.0,top
TH9,Thermistor_PTC,R_1206_3216Metric,104.15,-109.553846,-90.0,top
